run,cycle,eval,rank,distance,dominated,dominates,o1_fitness,o2_fitness
1,1,38,0,inf,0,30,-4061.429212,-9.636369
1,1,38,0,1.034323,0,28,-4065.118538,-9.587029
1,1,38,0,1.921415,0,24,-4108.574656,-8.887413
1,1,38,0,inf,0,23,-4117.287523,-5.700794
1,1,38,1,inf,0,7,-4062.787056,-12.754240
1,1,38,1,1.162726,0,15,-4064.379555,-11.558546
1,1,38,1,1.014036,0,20,-4107.535029,-10.325209
1,1,38,1,0.610357,0,22,-4109.029904,-9.834200
1,1,38,1,0.633790,0,19,-4123.354873,-8.512778
1,1,38,1,0.226917,0,14,-4128.912911,-8.194291
1,1,38,1,inf,0,14,-4131.091692,-7.968938
1,1,38,2,inf,0,4,-4067.789221,-13.396159
1,1,38,2,1.173863,0,11,-4069.792064,-11.992504
1,1,38,2,1.055435,0,11,-4111.272112,-11.439218
1,1,38,2,0.826137,0,18,-4113.859812,-10.591875
1,1,38,2,inf,0,15,-4127.926741,-9.055171
1,1,38,3,inf,0,3,-4070.091585,-13.598687
1,1,38,3,1.406477,0,3,-4095.812411,-13.172990
1,1,38,3,1.063161,0,11,-4116.024466,-11.162043
1,1,38,3,0.285998,0,13,-4119.127236,-10.676496
1,1,38,3,0.409531,0,15,-4124.420432,-10.612375
1,1,38,3,inf,0,13,-4132.935302,-9.991890
1,1,38,4,inf,0,12,-4125.501612,-10.847531
1,1,38,4,inf,0,10,-4137.400911,-10.049601
1,1,38,5,inf,0,7,-4126.068755,-12.308300
1,1,38,5,0.917038,0,6,-4137.182959,-12.165677
1,1,38,5,1.844359,0,7,-4141.829811,-10.947264
1,1,38,5,inf,0,3,-4284.985808,-10.644158
1,1,38,6,inf,0,4,-4128.717774,-12.462715
1,1,38,6,1.308618,0,3,-4147.477471,-12.431924
1,1,38,6,1.868820,0,4,-4280.019849,-11.763960
1,1,38,6,inf,0,1,-4293.207000,-10.665449
1,1,38,7,inf,0,1,-4137.270190,-14.064995
1,1,38,7,1.728260,0,2,-4277.559587,-12.907636
1,1,38,7,0.556353,0,1,-4284.642890,-12.369494
1,1,38,7,inf,0,1,-4287.660557,-11.799271
1,1,38,8,inf,0,1,-4284.199002,-13.713173
1,1,38,9,inf,0,0,-4298.793570,-14.461361
1,2,44,0,inf,0,29,-4061.429212,-9.636369
1,2,44,0,1.034323,0,27,-4065.118538,-9.587029
1,2,44,0,1.921415,0,24,-4108.574656,-8.887413
1,2,44,0,inf,0,23,-4117.287523,-5.700794
1,2,44,1,inf,0,5,-4062.787056,-12.754240
1,2,44,1,1.162726,0,13,-4064.379555,-11.558546
1,2,44,1,1.014036,0,19,-4107.535029,-10.325209
1,2,44,1,0.610357,0,21,-4109.029904,-9.834200
1,2,44,1,0.633790,0,19,-4123.354873,-8.512778
1,2,44,1,0.226917,0,14,-4128.912911,-8.194291
1,2,44,1,inf,0,14,-4131.091692,-7.968938
1,2,44,2,inf,0,1,-4067.789221,-13.396159
1,2,44,2,1.173863,0,9,-4069.792064,-11.992504
1,2,44,2,1.055435,0,9,-4111.272112,-11.439218
1,2,44,2,0.826137,0,17,-4113.859812,-10.591875
1,2,44,2,inf,0,15,-4127.926741,-9.055171
1,2,44,3,inf,0,0,-4070.091585,-13.598687
1,2,44,3,0.807960,0,1,-4095.812411,-13.172990
1,2,44,3,0.706994,0,9,-4116.024466,-11.162043
1,2,44,3,0.172262,0,12,-4119.127236,-10.676496
1,2,44,3,0.231599,0,14,-4124.420432,-10.612375
1,2,44,3,1.019778,0,12,-4132.935302,-9.991890
1,2,44,3,inf,0,7,-4266.647810,-9.355672
1,2,44,4,inf,0,11,-4125.501612,-10.847531
1,2,44,4,inf,0,10,-4137.400911,-10.049601
1,2,44,5,inf,0,5,-4126.068755,-12.308300
1,2,44,5,0.917038,0,4,-4137.182959,-12.165677
1,2,44,5,1.844359,0,7,-4141.829811,-10.947264
1,2,44,5,inf,0,2,-4284.985808,-10.644158
1,2,44,6,inf,0,3,-4128.717774,-12.462715
1,2,44,6,1.633174,0,3,-4147.477471,-12.431924
1,2,44,6,1.868820,0,5,-4263.265241,-10.997579
1,2,44,6,inf,0,0,-4293.207000,-10.665449
1,2,44,7,inf,0,3,-4267.430279,-11.786116
1,2,44,7,inf,0,1,-4280.019849,-11.763960
1,2,44,8,inf,0,0,-4268.431274,-13.227633
1,2,44,8,2.000000,0,0,-4276.332341,-12.982059
1,2,44,8,inf,0,0,-4287.040844,-12.557347
1,3,50,0,inf,0,29,-4061.429212,-9.636369
1,3,50,0,1.034323,0,27,-4065.118538,-9.587029
1,3,50,0,1.921415,0,24,-4108.574656,-8.887413
1,3,50,0,inf,0,23,-4117.287523,-5.700794
1,3,50,1,inf,0,6,-4062.787056,-12.754240
1,3,50,1,1.162726,0,11,-4064.379555,-11.558546
1,3,50,1,1.014036,0,19,-4107.535029,-10.325209
1,3,50,1,0.610357,0,21,-4109.029904,-9.834200
1,3,50,1,0.633790,0,19,-4123.354873,-8.512778
1,3,50,1,0.226917,0,14,-4128.912911,-8.194291
1,3,50,1,inf,0,14,-4131.091692,-7.968938
1,3,50,2,inf,0,3,-4067.789221,-13.396159
1,3,50,2,1.173863,0,9,-4069.792064,-11.992504
1,3,50,2,1.055435,0,7,-4111.272112,-11.439218
1,3,50,2,0.826137,0,17,-4113.859812,-10.591875
1,3,50,2,inf,0,15,-4127.926741,-9.055171
1,3,50,3,inf,0,1,-4070.091585,-13.598687
1,3,50,3,0.807960,0,2,-4095.812411,-13.172990
1,3,50,3,0.706994,0,9,-4116.024466,-11.162043
1,3,50,3,0.172262,0,12,-4119.127236,-10.676496
